uf,br,total_vitimas,total_acidentes,total_mortos,acidentes_fatais,perc_fatais
TO,242,48,26,4,4,15.38
CE,304,68,51,3,2,3.92
CE,403,5,6,3,3,50.0
MG,146,77,55,3,3,5.45
MG,356,77,53,3,3,5.66
PI,402,25,24,3,3,12.5
SC,480,57,58,3,3,5.17
TO,235,16,9,3,1,11.11
BA,30,5,4,2,2,50.0
BA,410,52,26,2,2,7.69
DF,40,131,124,2,2,1.61
ES,447,9,8,2,2,25.0
MG,354,123,96,2,2,2.08
MG,364,50,45,2,2,4.44
MS,487,10,6,2,1,16.67
PB,427,17,12,2,2,16.67
PE,110,24,15,2,2,13.33
PR,280,35,22,2,2,9.09
RO,425,36,32,2,2,6.25
RS,448,83,86,2,2,2.33
SP,459,39,29,2,1,3.45
AM,317,1,1,1,1,100.0
ES,393,44,37,1,1,2.7
MS,359,13,6,1,1,16.67
MS,419,14,11,1,1,9.09
PB,405,20,15,1,1,6.67
PI,235,6,4,1,1,25.0
PR,467,33,27,1,1,3.7
RO,174,68,56,1,1,1.79
RO,421,30,23,1,1,4.35
RR,210,1,1,1,1,100.0
SC,158,32,35,1,1,2.86
SP,262,9,7,1,1,14.29
SP,488,48,33,1,1,3.03
TO,226,6,9,1,1,11.11
AC,0,3,3,0,0,0.0
AC,307,6,5,0,0,0.0
AL,110,1,1,0,0,0.0
AM,0,2,4,0,0,0.0
AM,230,22,24,0,0,0.0
AP,0,0,1,0,0,0.0
AP,156,110,57,0,0,0.0
BA,430,1,1,0,0,0.0
CE,0,1,3,0,0,0.0
CE,122,3,2,0,0,0.0
DF,0,0,6,0,0,0.0
ES,0,1,7,0,0,0.0
ES,484,1,1,0,0,0.0
GO,0,4,12,0,0,0.0
GO,251,15,12,0,0,0.0
MA,0,1,1,0,0,0.0
MG,0,6,8,0,0,0.0
MG,265,1,2,0,0,0.0
MS,0,0,3,0,0,0.0
MS,436,4,5,0,0,0.0
MT,0,2,3,0,0,0.0
MT,242,0,1,0,0,0.0
PA,0,9,12,0,0,0.0
PA,158,0,1,0,0,0.0
PB,0,6,5,0,0,0.0
PB,110,1,1,0,0,0.0
PB,116,17,11,0,0,0.0
PB,426,1,1,0,0,0.0
PE,0,2,9,0,0,0.0
PI,0,0,2,0,0,0.0
PI,20,1,1,0,0,0.0
PR,0,4,13,0,0,0.0
PR,469,57,55,0,0,0.0
RJ,0,10,23,0,0,0.0
RJ,354,10,6,0,0,0.0
RJ,485,1,2,0,0,0.0
RJ,495,35,32,0,0,0.0
RN,0,2,6,0,0,0.0
RN,437,1,1,0,0,0.0
RO,0,3,4,0,0,0.0
RR,0,0,1,0,0,0.0
RR,431,0,1,0,0,0.0
RS,0,4,17,0,0,0.0
RS,480,4,7,0,0,0.0
SC,0,1,10,0,0,0.0
SC,285,3,2,0,0,0.0
SE,0,0,2,0,0,0.0
SP,0,3,9,0,0,0.0
TO,0,1,3,0,0,0.0
