uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
PB;BAYEUX;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Declive;Sim
MG;FRUTA DE LEITE;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Nublado;Simples;Reta;Não
PE;SERTANIA;sexta-feira;Pleno dia;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Céu Claro;Simples;Reta;Não
SP;CAJATI;sexta-feira;Pleno dia;Curva acentuada;Tombamento;Céu Claro;Simples;"Curva;Declive";Não
RO;VILHENA;sexta-feira;Pleno dia;Área urbana sem a presença de local apropriado para a travessia de pedestres;Colisão lateral sentido oposto;Nublado;Simples;Reta;Sim
PE;RECIFE;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim
SC;BALNEARIO CAMBORIU;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Múltipla;Reta;Sim
SP;MAIRIPORA;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;"Reta;Declive";Não
GO;PORANGATU;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Nublado;Simples;Reta;Não
RS;ROSARIO DO SUL;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim
BA;ESPLANADA;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Simples;"Em Obras;Desvio Temporário;Reta";Não
PR;LARANJEIRAS DO SUL;sexta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Céu Claro;Simples;"Aclive;Interseção de Vias;Reta";Não
SC;JOINVILLE;sexta-feira;Pleno dia;Estacionar ou parar em local proibido;Colisão traseira;Sol;Múltipla;"Aclive;Reta";Sim
MS;APARECIDA DO TABOADO;sexta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Curva;Não
SC;BARRA VELHA;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
MG;ITABIRITO;sexta-feira;Pleno dia;Velocidade Incompatível;Colisão com objeto;Chuva;Dupla;Curva;Não
RJ;ANGRA DOS REIS;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;Curva;Não
ES;VIANA;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão traseira;Nublado;Dupla;"Aclive;Retorno Regulamentado";Sim
BA;BREJOES;sexta-feira;Pleno dia;Demais falhas na via;Tombamento;Céu Claro;Simples;"Curva;Aclive";Não
RJ;DUQUE DE CAXIAS;sexta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Queda de ocupante de veículo;Céu Claro;Dupla;Reta;Sim
ES;CARIACICA;sexta-feira;Plena Noite;Manobra de mudança de faixa;Colisão traseira;Ignorado;Dupla;Reta;Não
MG;GOVERNADOR VALADARES;sexta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Nublado;Simples;Reta;Não
MT;JUSCIMEIRA;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
SP;REGISTRO;sexta-feira;Pleno dia;Manobra de mudança de faixa;Saída de leito carroçável;Nublado;Dupla;Reta;Sim
RO;ALVORADA DOESTE;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Tombamento;Céu Claro;Simples;"Curva;Declive";Não
BA;SAO SEBASTIAO DO PASSE;sexta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;"Aclive;Reta";Não
RJ;ANGRA DOS REIS;sexta-feira;Plena Noite;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não
RJ;SAPUCAIA;sexta-feira;Anoitecer;Velocidade Incompatível;Tombamento;Nublado;Simples;Reta;Não
RJ;DUQUE DE CAXIAS;sexta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Ignorado;Múltipla;Reta;Sim
MG;FRUTAL;sexta-feira;Pleno dia;Transitar na contramão;Colisão frontal;Chuva;Simples;Reta;Não
MG;OLIVEIRA;sexta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Dupla;Curva;Não
RJ;ITAPERUNA;sábado;Plena Noite;Ausência de reação do condutor;Colisão traseira;Garoa/Chuvisco;Simples;Reta;Não
MG;ALEM PARAIBA;sexta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Chuva;Simples;Reta;Não
RJ;RESENDE;sábado;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Nublado;Dupla;Reta;Não
SC;PORTO BELO;sábado;Plena Noite;Ausência de reação do condutor;Queda de ocupante de veículo;Nublado;Dupla;Reta;Sim
RS;SAO GABRIEL;sexta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
MG;LUZ;sábado;Plena Noite;Ausência de reação do condutor;Colisão lateral sentido oposto;Chuva;Simples;"Curva;Aclive";Não
PR;SAO JOSE DOS PINHAIS;sábado;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não
RS;CAPAO BONITO DO SUL;sábado;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
BA;CANDIDO SALES;sábado;Amanhecer;Condutor Dormindo;Colisão frontal;Nublado;Simples;Reta;Sim
PR;UBIRATA;sábado;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão traseira;Sol;Simples;Reta;Não
