uf;municipio;dia_semana;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo
SP;MAIRIPORA;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
SC;POUSO REDONDO;terça-feira;Pleno dia;Transtornos Mentais (exceto suicidio);Atropelamento de Pedestre;Nublado;Simples;Reta;Sim
SC;RIO DO SUL;terça-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Céu Claro;Simples;"Reta;Declive";Sim
ES;CARIACICA;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Dupla;"Aclive;Reta;Interseção de Vias";Não
MG;GRAO MOGOL;domingo;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Sol;Simples;Curva;Não
RO;VILHENA;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Sol;Dupla;Interseção de Vias;Sim
BA;GAVIAO;domingo;Plena Noite;Condutor Dormindo;Tombamento;Céu Claro;Simples;Reta;Não
PE;JABOATAO DOS GUARARAPES;terça-feira;Pleno dia;Carga excessiva e/ou mal acondicionada;Derramamento de carga;Céu Claro;Dupla;Reta;Não
SP;EMBU DAS ARTES;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;"Reta;Declive";Sim
GO;ANAPOLIS;terça-feira;Pleno dia;Transitar no Acostamento;Colisão com objeto;Céu Claro;Dupla;"Reta;Aclive";Não
PB;SANTA RITA;terça-feira;Pleno dia;Condutor Dormindo;Colisão traseira;Céu Claro;Dupla;"Reta;Aclive";Sim
MT;CUIABA;sexta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Dupla;Curva;Sim
MG;LUZ;terça-feira;Pleno dia;Carga excessiva e/ou mal acondicionada;Saída de leito carroçável;Sol;Simples;"Aclive;Reta";Não
RS;IJUI;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão com objeto;Céu Claro;Simples;"Reta;Ponte";Sim
MA;SAO LUIS;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Nublado;Dupla;Retorno Regulamentado;Sim
RS;CARAZINHO;terça-feira;Pleno dia;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Vento;Simples;Curva;Não
BA;CONCEICAO DO ALMEIDA;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;Reta;Não
SP;GUARULHOS;terça-feira;Anoitecer;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Sim
MA;BALSAS;terça-feira;Anoitecer;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
PA;SANTA MARIA DO PARA;terça-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Sim
MG;MARTINS SOARES;terça-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Chuva;Simples;Reta;Não
MG;CONTAGEM;terça-feira;Plena Noite;Velocidade Incompatível;Colisão traseira;Céu Claro;Múltipla;Reta;Sim
PA;ITAITUBA;terça-feira;Pleno dia;Ausência de reação do condutor;Colisão com objeto;Céu Claro;Simples;"Curva;Aclive";Não
BA;INHAMBUPE;terça-feira;Anoitecer;Entrada inopinada do pedestre;Atropelamento de Pedestre;Céu Claro;Simples;Reta;Não
BA;MANOEL VITORINO;terça-feira;Plena Noite;Acesso irregular;Colisão traseira;Céu Claro;Simples;Reta;Não
MT;VARZEA GRANDE;terça-feira;Anoitecer;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Nublado;Simples;Reta;Sim
PR;JATAIZINHO;terça-feira;Plena Noite;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Chuva;Dupla;"Declive;Reta";Não
RJ;DUQUE DE CAXIAS;terça-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;"Reta;Aclive";Sim
MG;CAMPANHA;terça-feira;Plena Noite;Velocidade Incompatível;Colisão com objeto;Céu Claro;Dupla;Curva;Não
ES;VILA VELHA;terça-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;Reta;Não
SC;RIO DO SUL;terça-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Nublado;Simples;Reta;Não
PI;ALEGRETE DO PIAUI;terça-feira;Plena Noite;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
PR;QUATRO BARRAS;terça-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Nublado;Dupla;Curva;Não
PR;COLOMBO;terça-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Nublado;Dupla;"Reta;Aclive";Sim
PR;MARECHAL CANDIDO RONDON;terça-feira;Plena Noite;Velocidade Incompatível;Colisão com objeto;Chuva;Dupla;"Declive;Viaduto;Curva";Não
MS;JUTI;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão com objeto;Garoa/Chuvisco;Simples;"Reta;Ponte";Não
MG;CORREGO DANTA;quarta-feira;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Garoa/Chuvisco;Simples;Curva;Não
SP;SAO LOURENCO DA SERRA;quarta-feira;Plena Noite;Ausência de reação do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Sim
SC;PALHOCA;quarta-feira;Plena Noite;Velocidade Incompatível;Colisão transversal;Céu Claro;Múltipla;Reta;Não
PI;SAO JOAO DA FRONTEIRA;quarta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Declive;Não
RO;JARU;quarta-feira;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
SE;MURIBECA;quarta-feira;Pleno dia;Ausência de reação do condutor;Saída de leito carroçável;Céu Claro;Dupla;Reta;Não
DF;BRASILIA;quarta-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
MT;RONDONOPOLIS;quarta-feira;Amanhecer;Reação tardia ou ineficiente do condutor;Colisão traseira;Chuva;Dupla;"Reta;Ponte";Sim
MG;CARATINGA;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Garoa/Chuvisco;Simples;Reta;Sim
MG;TEOFILO OTONI;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Nublado;Dupla;Reta;Sim
PR;ORTIGUEIRA;quarta-feira;Amanhecer;Velocidade Incompatível;Tombamento;Céu Claro;Dupla;"Curva;Declive";Não
ES;LINHARES;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Não
RJ;SAO JOAO DE MERITI;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão traseira;Céu Claro;Múltipla;Reta;Sim
SP;APARECIDA;quarta-feira;Pleno dia;Chuva;Colisão transversal;Garoa/Chuvisco;Dupla;Reta;Não
SC;CORDILHEIRA ALTA;quarta-feira;Pleno dia;Transitar na contramão;Colisão lateral sentido oposto;Sol;Simples;Curva;Sim
ES;FUNDAO;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Simples;Reta;Não
RN;MOSSORO;quarta-feira;Amanhecer;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
MT;LUCAS DO RIO VERDE;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Chuva;Simples;Reta;Não
SC;LAGES;segunda-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Chuva;Simples;"Declive;Reta";Não
AM;MANAUS;terça-feira;Pleno dia;Velocidade Incompatível;Tombamento;Céu Claro;Simples;"Curva;Declive";Não
PB;CONDADO;quarta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Sol;Simples;Curva;Não
MG;INHAPIM;quarta-feira;Pleno dia;Estacionar ou parar em local proibido;Engavetamento;Chuva;Simples;Curva;Não
RJ;GUAPIMIRIM;sexta-feira;Pleno dia;Problema com o freio;Tombamento;Nublado;Dupla;Curva;Não
PA;CASTANHAL;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
MG;CONTAGEM;quarta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão com objeto;Céu Claro;Dupla;Reta;Sim
MG;CONGONHAS;quarta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Chuva;Simples;Interseção de Vias;Sim
SC;ITAPEMA;quarta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Sim
CE;SOBRAL;quarta-feira;Plena Noite;Ingestão de álcool pelo condutor;Tombamento;Céu Claro;Simples;"Interseção de Vias;Rotatória";Sim
PI;FLORIANO;quarta-feira;Pleno dia;Transitar na contramão;Colisão lateral sentido oposto;Sol;Simples;Reta;Não
MS;PARAISO DAS AGUAS;quarta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;Reta;Não
RS;CIRIACO;quinta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão lateral sentido oposto;Nublado;Simples;Reta;Não
PE;PARANATAMA;segunda-feira;Pleno dia;Transitar na contramão;Colisão frontal;Sol;Simples;"Aclive;Reta";Não
RS;PORTO XAVIER;quinta-feira;Amanhecer;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Simples;Curva;Não
MT;CAMPO VERDE;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Dupla;Reta;Não
RS;CANOAS;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Sim
MG;JAMPRUCA;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão frontal;Chuva;Simples;Reta;Não
ES;CARIACICA;quinta-feira;Pleno dia;Pista Escorregadia;Colisão lateral mesmo sentido;Chuva;Dupla;"Curva;Declive";Sim
MT;NOBRES;sábado;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Dupla;"Reta;Viaduto";Não
SE;ITAPORANGA DAJUDA;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Dupla;"Curva;Declive";Não
MG;CENTRALINA;quarta-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Colisão traseira;Céu Claro;Dupla;Reta;Não
PR;SAO JOSE DOS PINHAIS;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Engavetamento;Nublado;Dupla;"Reta;Viaduto";Sim
GO;POSSE;quinta-feira;Pleno dia;Velocidade Incompatível;Colisão com objeto;Céu Claro;Simples;"Reta;Aclive";Não
PE;IGARASSU;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Múltipla;Reta;Não
PE;PETROLINA;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Reta;Sim
MG;LIMA DUARTE;quinta-feira;Amanhecer;Reação tardia ou ineficiente do condutor;Colisão lateral sentido oposto;Ignorado;Simples;Reta;Não
BA;SALVADOR;quinta-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Reta;Aclive";Não
SC;SAO MIGUEL DO OESTE;quinta-feira;Pleno dia;Transitar no Acostamento;Colisão transversal;Céu Claro;Simples;"Reta;Declive";Sim
PR;BOM JESUS DO SUL;domingo;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Aclive;Sim
ES;ITAPEMIRIM;quinta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Garoa/Chuvisco;Simples;"Curva;Declive";Não
SC;BARRA VELHA;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Engavetamento;Sol;Múltipla;Declive;Não
MG;BELO HORIZONTE;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;Reta;Sim
RS;MINAS DO LEAO;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Sol;Simples;"Em Obras;Declive";Não
RJ;GUAPIMIRIM;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;Reta;Sim
BA;RIO REAL;quinta-feira;Plena Noite;Condutor Dormindo;Colisão traseira;Céu Claro;Dupla;"Reta;Aclive";Não
PB;CAMPINA GRANDE;quinta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;"Reta;Aclive";Não
SC;ARAQUARI;quinta-feira;Amanhecer;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Céu Claro;Dupla;Reta;Sim
MG;FRANCISCO SA;quinta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Simples;"Curva;Declive";Não
RS;PORTO ALEGRE;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Múltipla;Reta;Não
PR;CURITIBA;quinta-feira;Pleno dia;Trafegar com motocicleta (ou similar) entre as faixas;Colisão lateral mesmo sentido;Nublado;Dupla;Reta;Sim
DF;BRASILIA;segunda-feira;Amanhecer;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;"Retorno Regulamentado;Reta";Sim
MG;BETIM;quarta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão traseira;Chuva;Dupla;"Curva;Declive";Não
MG;MONTE ALEGRE DE MINAS;quarta-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Dupla;Reta;Não
MG;ITATIAIUCU;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Nublado;Dupla;Reta;Não
SC;APIUNA;quinta-feira;Pleno dia;Condutor Dormindo;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Sim
SC;CHAPECO;quinta-feira;Pleno dia;Desrespeitar a preferência no cruzamento;Colisão transversal;Sol;Simples;"Retorno Regulamentado;Interseção de Vias;Reta;Túnel;Declive";Não
RJ;ITAPERUNA;quinta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Simples;Curva;Não
ES;IBATIBA;quarta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Nevoeiro/Neblina;Simples;"Declive;Curva";Não
PR;CAMPINA GRANDE DO SUL;quinta-feira;Anoitecer;Ausência de reação do condutor;Colisão transversal;Nublado;Dupla;Retorno Regulamentado;Não
RS;CAXIAS DO SUL;quarta-feira;Anoitecer;Demais falhas mecânicas ou elétricas;Colisão com objeto;Nublado;Simples;Interseção de Vias;Sim
SP;CACAPAVA;quinta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão com objeto;Nublado;Dupla;Reta;Não
PE;ESCADA;quinta-feira;Pleno dia;Ausência de reação do condutor;Tombamento;Céu Claro;Dupla;Curva;Não
MG;CONGONHAL;quinta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Nublado;Simples;Reta;Não
SC;LAGUNA;quinta-feira;Plena Noite;Ultrapassagem Indevida;Colisão traseira;Céu Claro;Dupla;"Reta;Ponte";Não
MT;VARZEA GRANDE;quinta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Queda de ocupante de veículo;Céu Claro;Simples;Reta;Sim
MG;BETIM;quinta-feira;Plena Noite;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Reta;Declive";Não
PE;SALOA;quinta-feira;Plena Noite;Velocidade Incompatível;Capotamento;Céu Claro;Simples;"Curva;Declive";Não
RO;VILHENA;quinta-feira;Pleno dia;Pedestre andava na pista;Atropelamento de Pedestre;Céu Claro;Dupla;Reta;Sim
PR;PONTA GROSSA;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão transversal;Céu Claro;Dupla;Retorno Regulamentado;Sim
PR;MATELANDIA;quinta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Dupla;Reta;Não
RJ;ITABORAI;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Sim
RJ;ITATIAIA;quinta-feira;Plena Noite;Ausência de reação do condutor;Colisão traseira;Céu Claro;Dupla;"Aclive;Reta";Não
MA;TIMON;quinta-feira;Plena Noite;Transitar na contramão;Colisão lateral sentido oposto;Céu Claro;Simples;Declive;Não
PI;CRISTINO CASTRO;quinta-feira;Plena Noite;Animais na Pista;Atropelamento de Animal;Céu Claro;Simples;Reta;Não
MG;ARAGUARI;quinta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Não
RS;RIO GRANDE;quinta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;Reta;Não
MT;TANGARA DA SERRA;quinta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Reta;Não
PR;TIBAGI;quinta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Céu Claro;Simples;"Em Obras;Desvio Temporário";Não
PR;CAMPO LARGO;sexta-feira;Plena Noite;Acesso irregular;Colisão transversal;Ignorado;Dupla;Reta;Não
RN;NISIA FLORESTA;sexta-feira;Plena Noite;Condutor Dormindo;Saída de leito carroçável;Céu Claro;Dupla;"Curva;Declive";Não
SC;ALFREDO WAGNER;quarta-feira;Pleno dia;Velocidade Incompatível;Capotamento;Sol;Simples;"Curva;Declive";Não
BA;OLIVEIRA DOS BREJINHOS;sexta-feira;Plena Noite;Ingestão de álcool pelo condutor;Colisão transversal;Céu Claro;Simples;"Reta;Ponte";Não
ES;CARIACICA;quarta-feira;Anoitecer;Chuva;Colisão transversal;Chuva;Múltipla;"Reta;Declive";Sim
PR;PARANAGUA;quarta-feira;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Dupla;Reta;Sim
GO;MORRINHOS;quarta-feira;Pleno dia;Velocidade Incompatível;Tombamento;Nublado;Dupla;Curva;Não
MT;VERA;sexta-feira;Pleno dia;Ultrapassagem Indevida;Colisão frontal;Céu Claro;Simples;Reta;Não
RO;CANDEIAS DO JAMARI;sexta-feira;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Dupla;Reta;Não
AL;DOIS RIACHOS;segunda-feira;Pleno dia;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
TO;COLINAS DO TOCANTINS;sexta-feira;Amanhecer;Ultrapassagem Indevida;Colisão frontal;Sol;Simples;Reta;Não
BA;IRAJUBA;sábado;Amanhecer;Condutor Dormindo;Colisão traseira;Céu Claro;Simples;"Aclive;Curva";Não
SP;REGISTRO;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
RN;CAICO;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Tombamento;Sol;Simples;Curva;Não
RJ;DUQUE DE CAXIAS;sexta-feira;Pleno dia;Manobra de mudança de faixa;Colisão transversal;Sol;Múltipla;"Reta;Declive";Sim
PE;JABOATAO DOS GUARARAPES;segunda-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Sol;Dupla;Reta;Não
MS;PARANAIBA;quarta-feira;Pleno dia;Transitar na contramão;Colisão lateral sentido oposto;Sol;Simples;Reta;Não
PA;CASTANHAL;sexta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Céu Claro;Simples;Reta;Não
RO;CHUPINGUAIA;sexta-feira;Plena Noite;Demais falhas mecânicas ou elétricas;Incêndio;Ignorado;Simples;Reta;Não
RS;LAGOA VERMELHA;sexta-feira;Pleno dia;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Nublado;Simples;Reta;Sim
RS;POUSO NOVO;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;"Aclive;Curva";Não
PR;CAMPINA GRANDE DO SUL;sexta-feira;Pleno dia;Manobra de mudança de faixa;Tombamento;Nublado;Dupla;Curva;Não
MS;RIO BRILHANTE;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Chuva;Simples;Reta;Não
SC;PORTO UNIAO;sexta-feira;Plena Noite;Transitar na contramão;Colisão frontal;Nublado;Simples;Curva;Não
MG;UBERABA;sexta-feira;Pleno dia;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Chuva;Dupla;Reta;Sim
RJ;VOLTA REDONDA;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Colisão traseira;Céu Claro;Dupla;"Reta;Declive";Não
SC;MAFRA;sexta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Interseção de Vias;Reta;Retorno Regulamentado";Sim
AC;FEIJO;quarta-feira;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Ignorado;Simples;"Reta;Declive";Não
PR;CORBELIA;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão frontal;Chuva;Simples;"Declive;Curva";Não
GO;SIMOLANDIA;sexta-feira;Amanhecer;Pista Escorregadia;Colisão lateral sentido oposto;Chuva;Simples;"Reta;Declive";Não
MG;TRES MARIAS;quinta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Tombamento;Céu Claro;Simples;"Curva;Aclive";Sim
SP;ITAPECERICA DA SERRA;sexta-feira;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
BA;SANTA BARBARA;sexta-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão transversal;Sol;Dupla;Reta;Sim
SC;ITAJAI;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Reta;Viaduto";Não
RS;CACHOEIRA DO SUL;sexta-feira;Pleno dia;Ausência de reação do condutor;Colisão frontal;Céu Claro;Simples;Reta;Não
SC;CAPAO ALTO;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Céu Claro;Múltipla;Curva;Não
RO;ITAPUA DO OESTE;sexta-feira;Pleno dia;Ingestão de álcool pelo condutor;Colisão traseira;Chuva;Simples;Reta;Não
MG;JUIZ DE FORA;sexta-feira;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;Reta;Não
PA;ELDORADO DO CARAJAS;sexta-feira;Pleno dia;Ingestão de substâncias psicoativas pelo condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Não
BA;ITABELA;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Tombamento;Céu Claro;Simples;Curva;Não
CE;JAGUARIBE;sexta-feira;Pleno dia;Demais falhas mecânicas ou elétricas;Incêndio;Céu Claro;Simples;Reta;Não
MT;RONDONOPOLIS;sexta-feira;Plena Noite;Ingestão de álcool pelo condutor;Saída de leito carroçável;Nublado;Dupla;Reta;Não
RS;SANTIAGO;sexta-feira;Pleno dia;Ingestão de álcool pelo condutor;Saída de leito carroçável;Céu Claro;Simples;Reta;Sim
ES;CARIACICA;sexta-feira;Plena Noite;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Céu Claro;Simples;"Reta;Retorno Regulamentado";Sim
SC;BOM RETIRO;sexta-feira;Plena Noite;Transitar na contramão;Colisão frontal;Céu Claro;Simples;Curva;Não
BA;CANUDOS;sexta-feira;Plena Noite;Condutor Dormindo;Capotamento;Céu Claro;Simples;"Reta;Em Obras";Não
BA;NOVA SOURE;sexta-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Colisão frontal;Céu Claro;Simples;"Reta;Aclive";Não
SP;JUQUITIBA;sábado;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Nevoeiro/Neblina;Dupla;"Declive;Reta";Não
SP;LORENA;sábado;Plena Noite;Condutor deixou de manter distância do veículo da frente;Colisão traseira;Nublado;Dupla;Reta;Não
RJ;BARRA MANSA;sábado;Plena Noite;Pedestre andava na pista;Atropelamento de Pedestre;Nublado;Dupla;Reta;Não
BA;JAGUAQUARA;sábado;Plena Noite;Condutor Dormindo;Colisão lateral sentido oposto;Céu Claro;Simples;Reta;Não
RS;CANOAS;sábado;Amanhecer;Manobra de mudança de faixa;Colisão com objeto;Céu Claro;Múltipla;Reta;Não
RJ;CAMPOS DOS GOYTACAZES;sábado;Plena Noite;Reação tardia ou ineficiente do condutor;Colisão traseira;Chuva;Dupla;"Reta;Aclive";Não
MG;CARMO DA CACHOEIRA;sábado;Amanhecer;Condutor Dormindo;Saída de leito carroçável;Ignorado;Dupla;Reta;Não
MT;ITAUBA;sábado;Amanhecer;Ingestão de álcool pelo condutor;Colisão traseira;Céu Claro;Simples;Reta;Não
PI;BERTOLINIA;terça-feira;Pleno dia;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Sol;Simples;Reta;Não
RJ;RIO DE JANEIRO;quarta-feira;Plena Noite;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Céu Claro;Dupla;Reta;Não
PR;CAMPINA GRANDE DO SUL;quarta-feira;Pleno dia;Velocidade Incompatível;Colisão traseira;Chuva;Dupla;Curva;Não
PA;SANTA LUZIA DO PARA;sábado;Pleno dia;Transitar na contramão;Colisão transversal;Nublado;Simples;Reta;Não
MG;JEQUITAI;quarta-feira;Pleno dia;Acumulo de água sobre o pavimento;Colisão frontal;Chuva;Simples;Reta;Não
MG;JEQUITAI;sábado;Pleno dia;Condutor Dormindo;Saída de leito carroçável;Chuva;Simples;Reta;Não
GO;SIMOLANDIA;sábado;Pleno dia;Velocidade Incompatível;Saída de leito carroçável;Céu Claro;Dupla;"Declive;Interseção de Vias";Não
PR;APUCARANA;quinta-feira;Plena Noite;Ausência de reação do condutor;Colisão com objeto;Nublado;Dupla;"Declive;Curva";Não
SP;MIRACATU;quinta-feira;Amanhecer;Avarias e/ou desgaste excessivo no pneu;Tombamento;Nublado;Dupla;Curva;Não
RS;PELOTAS;sábado;Pleno dia;Acessar a via sem observar a presença dos outros veículos;Colisão lateral mesmo sentido;Céu Claro;Dupla;"Reta;Viaduto";Não
SC;JOINVILLE;sábado;Pleno dia;Velocidade Incompatível;Colisão lateral mesmo sentido;Chuva;Dupla;Curva;Não
MG;SALINAS;sábado;Pleno dia;Demais falhas mecânicas ou elétricas;Saída de leito carroçável;Nublado;Simples;Reta;Não
SE;ITABAIANA;sábado;Plena Noite;Conversão proibida;Colisão transversal;Céu Claro;Simples;"Reta;Interseção de Vias";Sim
AL;PILAR;sábado;Plena Noite;Ingestão de álcool pelo condutor;Colisão lateral mesmo sentido;Céu Claro;Simples;"Reta;Aclive";Não
MG;OURO PRETO;sábado;Plena Noite;Ausência de reação do condutor;Saída de leito carroçável;Chuva;Simples;"Reta;Aclive";Não
PR;IMBAU;sábado;Amanhecer;Demais falhas mecânicas ou elétricas;Incêndio;Ignorado;Dupla;"Reta;Aclive";Não
BA;MUCURI;sábado;Plena Noite;Ingestão de álcool pelo condutor;Colisão traseira;Nublado;Simples;Reta;Sim
MG;SETE LAGOAS;sábado;Anoitecer;Pista esburacada;Tombamento;Nublado;Dupla;Curva;Não
